site_id,source,content_id,title,note
b066e847-4e51-409e-b2d2-95e4ee8ca6ed,photokorea,3098324,남양성모성지,수원 남양 성모 성지 · 쌍둥이 탑 대성당 전경 · 채택 2026-09-15
47589be3-145b-49d5-ba67-09e05beaa544,photokorea,2699865,되재성당지,전주 되재 성당지 · 한옥 성당과 종탑 항공 사진 · 채택 2026-09-15
031a928d-7313-4460-a340-0dd276ea02db,photokorea,1363821,배티성지,청주 배티 순교성지 · 소나무 숲 성모상 · 채택 2026-09-15
7e1d46c2-486b-4b56-8f02-cb0f7703edcd,photokorea,1939240,왜고개성지,군종 왜고개 성지 · 「왜고개성지」 입구 아치 · 채택 2026-09-15
db51e1aa-4101-48a8-94db-bc10f3723464,photokorea,1647124,은이성지,수원 은이 성지 · 「천주교 은이성지」 입구 간판 · 채택 2026-09-15
5e4d123d-49ce-4900-a78e-af010cfef31b,photokorea,2007181,감곡매괴성모순례지성당,청주 음성 감곡면 매괴성당 · 붉은 벽돌 회랑과 임가밀로 신부상 · 채택 2026-09-15
d55432d2-ae7b-4416-9f8d-9f14815e7328,photokorea,2702521,천호성지,전주 천호성지 · 현대식 성당 항공 사진 · 채택 2026-09-15
586807a3-3a63-4b89-b99d-fd994dd6d5fa,photokorea,2702529,초남이성지,전주 초남이 성지 · 연못 위 십자가·성모상 · 채택 2026-09-15
3c5c55a8-c994-4d95-882c-19ab96beb26c,photokorea,1054170,한티순교성지,대구 한티 순교성지 · 「순교자 묘역」 표석과 산책로 · 채택 2026-09-15
a9d7452a-a271-4634-bbed-42e977532c69,tourinfo,3006131,가톨릭 목포 성지,광주 가톨릭 목포 성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
4877a452-ffe2-4528-ab51-cb5ff3735d56,tourinfo,127634,순교성지 갈매못,대전 갈매못 순교성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
750b4187-fb75-4e0d-bfcc-53bdacf032dd,tourinfo,2768133,갑곶순교성지,인천 갑곶 순교성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
98e959e5-4ace-4752-87bd-2fd3276a474c,tourinfo,2605187,강릉 대도호부 관아,춘천 강릉 대도호부 관아 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
8c53e03c-1045-4a42-a1f7-8ad29a2f15c1,tourinfo,126805,구산성지,수원 구산 성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
3a79079e-5a81-420a-87a7-915abba1ba38,tourinfo,2757084,김수환 추기경 사랑과 나눔공원,대구 김수환 추기경 사랑과 나눔 공원 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
b1073093-aeff-4e91-b642-0f8ab69207ad,tourinfo,1935351,나주 순교성지,광주 나주 순교자 기념성당 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
b066e847-4e51-409e-b2d2-95e4ee8ca6ed,tourinfo,126709,남양성모성지,수원 남양 성모 성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
17d46128-2bec-4f7f-a2c9-47806092e6be,tourinfo,127312,청양 다락골 줄무덤 성지,대전 다락골 성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
dc218e5a-3218-4364-bc6d-4c5737122d53,tourinfo,2763759,단내 성가정 성지,수원 단내 성가정 성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
e6ea8590-c9fa-4894-9a96-e9bc8718c9e7,tourinfo,2765240,천주교 대정성지,제주 대정성지 (정난주 마리아 묘) · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
47589be3-145b-49d5-ba67-09e05beaa544,tourinfo,2702537,되재성당,전주 되재 성당지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
c7f09aab-c761-4145-ac38-9030030f00f7,tourinfo,2702820,천주교 명례성지,마산 명례 성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
6aad7554-cb1e-4211-af58-3316ba8f1be2,tourinfo,3006131,가톨릭 목포 성지,광주 목포 산정동 순교자기념성당 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
299f79c2-1572-4199-abdd-7b5979d5f14f,tourinfo,127556,미리내성지,수원 미리내 성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
031a928d-7313-4460-a340-0dd276ea02db,tourinfo,127793,진천 배티 성지,청주 배티 순교성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
4c36258e-cfcc-4c77-be5c-325b77513f58,tourinfo,129003,상주천주교신앙고백비,안동 상주 신앙 고백비 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
9321e8ce-5d68-46e5-bd9f-e8fbde9ca2e4,tourinfo,2765252,새미은총의동산,제주 새미 은총의 동산 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
3703ae13-69fa-427e-aafe-ce32b340a1eb,tourinfo,2732361,천주교 손골성지,수원 손골 성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
da89541b-07ce-4658-b138-897fa4473977,tourinfo,127238,수리치골 성지,대전 수리치골 성모 성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
800a92cf-7894-484b-a1b8-ed426e8e3509,tourinfo,3486984,신나무골성지,대구 신나무골 성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
4b1bd009-94ca-4cc5-8217-8c3b6b5491c7,tourinfo,1626555,연풍성지,청주 연풍 순교성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
ad74fef5-1d7c-468e-a32c-03e551af7482,tourinfo,2514751,성베네딕도회 왜관수도원,대구 왜관 성 베네딕도 수도원 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
933c7006-8bb5-4ff0-85d3-ac5146f47372,tourinfo,2765233,용수성지,제주 용수성지 (성 김대건 신부 제주 표착 기념관) · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
db51e1aa-4101-48a8-94db-bc10f3723464,tourinfo,2612873,은이성지(청년 김대건길),수원 은이 성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
5e4d123d-49ce-4900-a78e-af010cfef31b,tourinfo,1114686,감곡매괴성모순례지성당,청주 음성 감곡면 매괴성당 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
8d87ca6f-f31d-40d4-b25e-9a425aed0954,tourinfo,127027,죽산성지(이진터성지),수원 죽산 순교성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
d55432d2-ae7b-4416-9f8d-9f14815e7328,tourinfo,1935601,천호성지,전주 천호성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
0e16c2ac-8f78-4b16-9059-b69041e3c96e,tourinfo,127611,치명자산성지,전주 치명자산 성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
3c5c55a8-c994-4d95-882c-19ab96beb26c,tourinfo,1935320,한티 순교성지,대구 한티 순교성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
d8b49c3c-d4f9-4b04-805d-4d9a575d877d,tourinfo,127018,순교자 황사영 알렉시오 묘,의정부 황사영 순교순례지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
751e12ce-fa81-4bd0-87e5-2f3af28848d0,tourinfo,127240,공주 황새바위 순교성지,대전 황새바위 순교성지 · 관광정보 대표 사진 — 제목이 성지 이름과 같음 (9/15) · 채택 2026-09-15
b01a51e2-2c86-4458-b95b-7a742bc062cd,tourinfo,756600,삼성산성지,"서울 삼성산 성지 · 「천주교 삼성산성지」 표석과 숲길 · 콘텐츠랩 훑기로 발견, 채택 2026-09-16"
7e079f9c-a689-4414-9102-f1883fb18b6b,tourinfo,231923,통영 삼도수군통제영,마산 통영 김기량 순교지 · 옥터가 있던 통제영(세병관) 전경 · 채택 2026-09-16
bf53457b-5cbc-4468-bb63-0b4526967801,tourinfo,127771,수영사적공원,부산 수영 장대 순교성지 · 순교지가 안에 있는 수영사적공원(좌수영성) 정문 · 채택 2026-09-16
