id,name,diocese,image_url,source,license,confidence_note
ede390ef-348e-466b-a77e-0b0998c1ab03,5·18 기념성당(남동성당),광주,,none,,no confident match found via tourapi or wikimedia
a9d7452a-a271-4634-bbed-42e977532c69,가톨릭 목포 성지,광주,https://tong.visitkorea.or.kr/cms/resource/49/4054849_image2_1.jpg,tourapi,TourAPI(public),matched title='가톨릭 목포 성지' addr='전남광주통합특별시 목포시 노송길 35 (산정동)' conf=high
3fb1f577-e8b2-4f34-b72c-79e64ba4b913,곡성 옥터 성지(곡성성당),광주,,none,,no confident match found via tourapi or wikimedia
b1073093-aeff-4e91-b642-0f8ab69207ad,나주 순교자 기념성당,광주,,none,,no confident match found via tourapi or wikimedia
6aad7554-cb1e-4211-af58-3316ba8f1be2,목포 산정동 순교자기념성당,광주,,none,,no confident match found via tourapi or wikimedia
6436b88a-1101-40d8-be84-59dba4146ee5,영광 순교자 기념성당,광주,,none,,no confident match found via tourapi or wikimedia
7e1d46c2-486b-4b56-8f02-cb0f7703edcd,왜고개 성지,군종,,none,,no confident match found via tourapi or wikimedia
ed60c7d6-ee9f-4cd1-a5ff-28730e0dc42c,가실성당,대구,https://tong.visitkorea.or.kr/cms/resource/04/3490504_image2_1.jpg,tourapi,TourAPI(public),matched title='가실성당' addr='경상북도 칠곡군 왜관읍 가실1길 1' conf=high
5c865c51-6dc2-4d56-bc85-7b2b1875da4b,경상감영 옥터 순교지,대구,,none,,no confident match found via tourapi or wikimedia
27c44eb0-4bea-451d-ad62-994eba78d04b,경주 관아와 옥 터,대구,,none,,no confident match found via tourapi or wikimedia
b5c0ae5c-5913-4647-b917-2fd368518033,계산 주교좌대성당,대구,,none,,no confident match found via tourapi or wikimedia
90025fc0-dd69-461c-a5c2-3179d8886ff0,관덕정 순교성지,대구,,none,,no confident match found via tourapi or wikimedia
ce4882fd-cf65-4364-bf43-f43eedf18d1f,구룡 공소,대구,,none,,no confident match found via tourapi or wikimedia
3a79079e-5a81-420a-87a7-915abba1ba38,김수환 추기경 사랑과 나눔 공원,대구,,none,,no confident match found via tourapi or wikimedia
206a50d2-1b8b-41a7-bbba-6d41f3acd553,김천 황금성당,대구,,none,,no confident match found via tourapi or wikimedia
796e1f04-a8e6-4344-bb24-461802417f26,복자 성당,대구,,none,,no confident match found via tourapi or wikimedia
e6ba760e-a5d7-40c0-8899-6f4a319ff2bc,비산 성당,대구,,none,,no confident match found via tourapi or wikimedia
b8e7e64b-77af-41bc-81b0-6f8cb8750ea1,새방골 성당,대구,,none,,no confident match found via tourapi or wikimedia
23144148-89ae-4ce2-967f-99154caf1a8f,성 유스티노 신학교,대구,,none,,no confident match found via tourapi or wikimedia
51bac093-0540-47c7-a9ed-e87929538527,성모당·성직자 묘지,대구,,none,,no confident match found via tourapi or wikimedia
800a92cf-7894-484b-a1b8-ed426e8e3509,신나무골 성지,대구,,none,,no confident match found via tourapi or wikimedia
ad74fef5-1d7c-468e-a32c-03e551af7482,왜관 성 베네딕도 수도원,대구,,none,,no confident match found via tourapi or wikimedia
d8aabc95-992a-47f7-ae73-8df7124bf116,진목정,대구,,none,,no confident match found via tourapi or wikimedia
3c5c55a8-c994-4d95-882c-19ab96beb26c,한티 순교성지,대구,https://tong.visitkorea.or.kr/cms/resource/20/3490520_image2_1.jpg,tourapi,TourAPI(public),matched title='한티 순교성지' addr='경상북도 칠곡군 동명면 한티로1길 69' conf=high
4877a452-ffe2-4528-ab51-cb5ff3735d56,갈매못 순교성지,대전,,none,,no confident match found via tourapi or wikimedia
384ece39-557d-48bc-9708-ec04f1bb5e13,강경 성당,대전,,none,,no confident match found via tourapi or wikimedia
66e08f67-b761-40aa-9c6e-db6bd6efb6d6,공세리성지성당,대전,,none,,no confident match found via tourapi or wikimedia
36182234-42d9-4ecb-972e-00ad3cd2e74a,남방제 성지,대전,,none,,no confident match found via tourapi or wikimedia
17d46128-2bec-4f7f-a2c9-47806092e6be,다락골 성지,대전,,none,,no confident match found via tourapi or wikimedia
fe6ea3a7-24f6-4d76-8488-1032867ed624,대흥 봉수산 순교 성지,대전,,none,,no confident match found via tourapi or wikimedia
96784fc3-c4c5-4266-978c-467dff83abc7,덕산 순교 성지,대전,,none,,no confident match found via tourapi or wikimedia
71edd721-bea3-4c5e-a95e-082534917367,도앙골 성지,대전,,none,,no confident match found via tourapi or wikimedia
73314e2e-1c94-4229-bafc-63049462e4ef,배나드리 성지,대전,,none,,no confident match found via tourapi or wikimedia
7a4090f5-1eea-4bd8-a72d-adaff10acfbb,산막골·작은재 성지,대전,,none,,no confident match found via tourapi or wikimedia
59165c01-4102-4da2-a155-0d2cf18f97e5,삽티 성지,대전,,none,,no confident match found via tourapi or wikimedia
05cc24b2-c528-41c4-8c9d-467ac597c3df,서짓골 성지,대전,,none,,no confident match found via tourapi or wikimedia
11d93a00-93a6-48b4-818b-af1ec69ad15b,성거산성지,대전,,none,,no confident match found via tourapi or wikimedia
7e9b0733-1c97-4d1c-beb0-fd7e9c6ab8c0,솔뫼성지,대전,http://tong.visitkorea.or.kr/cms/resource/84/3535184_image2_1.jpg,tourapi,TourAPI(public),matched title='솔뫼성지' addr='충청남도 당진시 우강면 송산리' conf=high
da89541b-07ce-4658-b138-897fa4473977,수리치골 성모 성지,대전,,none,,no confident match found via tourapi or wikimedia
33e0cfff-5e24-44cd-980f-a69bfe09d4ff,신리성지,대전,https://tong.visitkorea.or.kr/cms/resource/61/4064461_image2_1.jpg,tourapi,TourAPI(public),matched title='신리성지' addr='충청남도 당진시 합덕읍 평야6로 135' conf=high
4881746c-8074-4912-9420-4d211491bd58,여사울성지,대전,http://tong.visitkorea.or.kr/cms/resource/39/3560639_image2_1.jpg,tourapi,TourAPI(public),matched title='여사울성지' addr='충청남도 예산군 신암면 신종여사울길 22' conf=high
8fb95b44-9e07-4570-9df4-54c3a315536b,원머리 성지,대전,,none,,no confident match found via tourapi or wikimedia
c9b75913-f657-4efd-a847-238be4d39ce8,정산 순교 성지,대전,,none,,no confident match found via tourapi or wikimedia
b1ac6215-43e2-4a0d-8dde-44cd7d3d787a,지석리 성지,대전,,none,,no confident match found via tourapi or wikimedia
eef91372-92ee-4b31-9314-5e9cb92946e9,진산 성지,대전,,none,,no confident match found via tourapi or wikimedia
f1e25869-e3cb-40de-b4b6-da5b5b398797,천주교 대흥동 교회 (대흥동 성당),대전,,none,,no confident match found via tourapi or wikimedia
5fe15d55-cb32-4494-99c6-ad849a625f46,합덕 성당,대전,,none,,no confident match found via tourapi or wikimedia
aeac09d0-c5ef-4091-b1b0-b84686940659,해미순교성지,대전,,none,,no confident match found via tourapi or wikimedia
bbbc941b-8c8b-4579-b11c-74228c0103d2,홍주 순교 성지,대전,,none,,no confident match found via tourapi or wikimedia
580a4c8e-2662-4a0f-afcd-110f20604bbf,황무실 성지,대전,,none,,no confident match found via tourapi or wikimedia
751e12ce-fa81-4bd0-87e5-2f3af28848d0,황새바위 순교성지,대전,,none,,tourapi medium-confidence match found but not auto-accepted; needs manual review
cd046cd7-3a40-4b66-9148-8217fdf7f03b,거제 윤봉문 요셉 순교성지,마산,,none,,no confident match found via tourapi or wikimedia
335e638e-f115-4158-a097-36b2ec261490,대산 성당 복자 구한선 타대오 성지,마산,,none,,no confident match found via tourapi or wikimedia
c7f09aab-c761-4145-ac38-9030030f00f7,명례 성지,마산,,none,,no confident match found via tourapi or wikimedia
55cbe55f-311b-4850-aada-005231302745,복자 박대식 빅토리노 묘,마산,,none,,no confident match found via tourapi or wikimedia
38454899-b005-43e8-8685-c786a9c5b364,순교자의 딸 유섬이 묘,마산,,none,,no confident match found via tourapi or wikimedia
5929dc45-102b-48e9-891a-da888aa04f47,정찬문 안토니오 순교성지,마산,,none,,no confident match found via tourapi or wikimedia
2f0dc7d0-9cdb-460e-a12d-0e984bf22f77,진주 문산성당,마산,,none,,no confident match found via tourapi or wikimedia
3cce01bc-9ba8-46a0-aa80-0da508f6e161,창원 웅천 왜성,마산,,none,,no confident match found via tourapi or wikimedia
7e079f9c-a689-4414-9102-f1883fb18b6b,통영 김기량 순교지(통제영 옥터),마산,,none,,no confident match found via tourapi or wikimedia
0d108f88-ba9a-456b-be67-41eb28b99d7e,기장 성지,부산,,none,,no confident match found via tourapi or wikimedia
a5f5d4bb-db4e-4053-958f-1eb737e97a82,김범우 순교자 성지,부산,,none,,no confident match found via tourapi or wikimedia
99a6d680-09bd-4d9f-ab75-9f2dfbef1719,살티 공소,부산,,none,,no confident match found via tourapi or wikimedia
bf53457b-5cbc-4468-bb63-0b4526967801,수영 장대 순교성지,부산,,none,,no confident match found via tourapi or wikimedia
